checking_hour,hour,day_of_week,date,room,status
6,11:30pm,Monday, October 10,520A,Available
6,11:45pm,Monday, October 10,520A,Available
6,6:45am,Monday, October 10,520B,Available
6,7:00am,Monday, October 10,520B,Available
6,7:15am,Monday, October 10,520B,Available
6,7:30am,Monday, October 10,520B,Available
6,7:45am,Monday, October 10,520B,Available
6,8:00am,Monday, October 10,520B,Available
6,8:15am,Monday, October 10,520B,Available
6,8:30am,Monday, October 10,520B,Available
6,8:45am,Monday, October 10,520B,Available
6,9:00am,Monday, October 10,520B,Available
6,9:15am,Monday, October 10,520B,Available
6,9:30am,Monday, October 10,520B,Available
6,9:45am,Monday, October 10,520B,Available
6,10:00am,Monday, October 10,520B,Available
6,10:15am,Monday, October 10,520B,Unavailable
6,10:30am,Monday, October 10,520B,Unavailable
6,10:45am,Monday, October 10,520B,Unavailable
6,11:00am,Monday, October 10,520B,Unavailable
6,11:15am,Monday, October 10,520B,Unavailable
6,11:30am,Monday, October 10,520B,Unavailable
6,11:45am,Monday, October 10,520B,Unavailable
6,12:00pm,Monday, October 10,520B,Unavailable
6,12:15pm,Monday, October 10,520B,Unavailable
6,12:30pm,Monday, October 10,520B,Unavailable
6,12:45pm,Monday, October 10,520B,Unavailable
6,1:00pm,Monday, October 10,520B,Unavailable
6,1:15pm,Monday, October 10,520B,Unavailable
6,1:30pm,Monday, October 10,520B,Unavailable
6,1:45pm,Monday, October 10,520B,Unavailable
6,2:00pm,Monday, October 10,520B,Unavailable
6,2:15pm,Monday, October 10,520B,Unavailable
6,2:30pm,Monday, October 10,520B,Unavailable
6,2:45pm,Monday, October 10,520B,Unavailable
6,3:00pm,Monday, October 10,520B,Unavailable
6,3:15pm,Monday, October 10,520B,Unavailable
6,3:30pm,Monday, October 10,520B,Unavailable
6,3:45pm,Monday, October 10,520B,Unavailable
6,4:00pm,Monday, October 10,520B,Unavailable
6,4:15pm,Monday, October 10,520B,Unavailable
6,4:30pm,Monday, October 10,520B,Unavailable
6,4:45pm,Monday, October 10,520B,Unavailable
6,5:00pm,Monday, October 10,520B,Unavailable
6,5:15pm,Monday, October 10,520B,Unavailable
6,5:30pm,Monday, October 10,520B,Unavailable
6,5:45pm,Monday, October 10,520B,Unavailable
6,6:00pm,Monday, October 10,520B,Unavailable
6,6:15pm,Monday, October 10,520B,Unavailable
6,6:30pm,Monday, October 10,520B,Unavailable
6,6:45pm,Monday, October 10,520B,Unavailable
6,7:00pm,Monday, October 10,520B,Unavailable
6,7:15pm,Monday, October 10,520B,Unavailable
6,7:30pm,Monday, October 10,520B,Available
6,7:45pm,Monday, October 10,520B,Unavailable
6,8:00pm,Monday, October 10,520B,Unavailable
6,8:15pm,Monday, October 10,520B,Unavailable
6,8:30pm,Monday, October 10,520B,Unavailable
6,8:45pm,Monday, October 10,520B,Unavailable
6,9:00pm,Monday, October 10,520B,Unavailable
6,9:15pm,Monday, October 10,520B,Unavailable
6,9:30pm,Monday, October 10,520B,Unavailable
6,9:45pm,Monday, October 10,520B,Unavailable
6,10:00pm,Monday, October 10,520B,Unavailable
6,10:15pm,Monday, October 10,520B,Unavailable
6,10:30pm,Monday, October 10,520B,Unavailable
6,10:45pm,Monday, October 10,520B,Unavailable
6,11:00pm,Monday, October 10,520B,Unavailable
6,11:15pm,Monday, October 10,520B,Available
6,11:30pm,Monday, October 10,520B,Available
6,11:45pm,Monday, October 10,520B,Available
6,6:45am,Monday, October 10,520C,Available
6,7:00am,Monday, October 10,520C,Available
6,7:15am,Monday, October 10,520C,Available
6,7:30am,Monday, October 10,520C,Available
6,7:45am,Monday, October 10,520C,Available
6,8:00am,Monday, October 10,520C,Available
6,8:15am,Monday, October 10,520C,Available
6,8:30am,Monday, October 10,520C,Available
6,8:45am,Monday, October 10,520C,Available
6,9:00am,Monday, October 10,520C,Available
6,9:15am,Monday, October 10,520C,Unavailable
6,9:30am,Monday, October 10,520C,Unavailable
6,9:45am,Monday, October 10,520C,Unavailable
6,10:00am,Monday, October 10,520C,Unavailable
6,10:15am,Monday, October 10,520C,Unavailable
6,10:30am,Monday, October 10,520C,Unavailable
6,10:45am,Monday, October 10,520C,Unavailable
6,11:00am,Monday, October 10,520C,Unavailable
6,11:15am,Monday, October 10,520C,Unavailable
6,11:30am,Monday, October 10,520C,Unavailable
6,11:45am,Monday, October 10,520C,Unavailable
6,12:00pm,Monday, October 10,520C,Unavailable
6,12:15pm,Monday, October 10,520C,Unavailable
6,12:30pm,Monday, October 10,520C,Unavailable
6,12:45pm,Monday, October 10,520C,Available
6,1:00pm,Monday, October 10,520C,Available
6,1:15pm,Monday, October 10,520C,Unavailable
6,1:30pm,Monday, October 10,520C,Unavailable
6,1:45pm,Monday, October 10,520C,Unavailable
6,2:00pm,Monday, October 10,520C,Unavailable
6,2:15pm,Monday, October 10,520C,Unavailable
6,2:30pm,Monday, October 10,520C,Unavailable
6,2:45pm,Monday, October 10,520C,Unavailable
6,3:00pm,Monday, October 10,520C,Unavailable
6,3:15pm,Monday, October 10,520C,Unavailable
6,3:30pm,Monday, October 10,520C,Unavailable
6,3:45pm,Monday, October 10,520C,Unavailable
6,4:00pm,Monday, October 10,520C,Unavailable
6,4:15pm,Monday, October 10,520C,Unavailable
6,4:30pm,Monday, October 10,520C,Unavailable
6,4:45pm,Monday, October 10,520C,Unavailable
6,5:00pm,Monday, October 10,520C,Unavailable
6,5:15pm,Monday, October 10,520C,Unavailable
6,5:30pm,Monday, October 10,520C,Unavailable
6,5:45pm,Monday, October 10,520C,Unavailable
6,6:00pm,Monday, October 10,520C,Unavailable
6,6:15pm,Monday, October 10,520C,Unavailable
6,6:30pm,Monday, October 10,520C,Unavailable
6,6:45pm,Monday, October 10,520C,Unavailable
6,7:00pm,Monday, October 10,520C,Unavailable
6,7:15pm,Monday, October 10,520C,Unavailable
6,7:30pm,Monday, October 10,520C,Unavailable
6,7:45pm,Monday, October 10,520C,Available
6,8:00pm,Monday, October 10,520C,Available
6,8:15pm,Monday, October 10,520C,Available
6,8:30pm,Monday, October 10,520C,Available
6,8:45pm,Monday, October 10,520C,Available
6,9:00pm,Monday, October 10,520C,Available
6,9:15pm,Monday, October 10,520C,Available
6,9:30pm,Monday, October 10,520C,Available
6,9:45pm,Monday, October 10,520C,Available
6,10:00pm,Monday, October 10,520C,Available
6,10:15pm,Monday, October 10,520C,Available
6,10:30pm,Monday, October 10,520C,Available
6,10:45pm,Monday, October 10,520C,Available
6,11:00pm,Monday, October 10,520C,Available
6,11:15pm,Monday, October 10,520C,Available
6,11:30pm,Monday, October 10,520C,Available
6,11:45pm,Monday, October 10,520C,Available
6,6:45am,Monday, October 10,520D,Available
6,7:00am,Monday, October 10,520D,Available
6,7:15am,Monday, October 10,520D,Available
6,7:30am,Monday, October 10,520D,Available
6,7:45am,Monday, October 10,520D,Available
6,8:00am,Monday, October 10,520D,Available
6,8:15am,Monday, October 10,520D,Available
6,8:30am,Monday, October 10,520D,Available
6,8:45am,Monday, October 10,520D,Available
6,9:00am,Monday, October 10,520D,Available
6,9:15am,Monday, October 10,520D,Available
6,9:30am,Monday, October 10,520D,Available
6,9:45am,Monday, October 10,520D,Available
6,10:00am,Monday, October 10,520D,Available
6,10:15am,Monday, October 10,520D,Available
6,10:30am,Monday, October 10,520D,Unavailable
6,10:45am,Monday, October 10,520D,Unavailable
6,11:00am,Monday, October 10,520D,Unavailable
6,11:15am,Monday, October 10,520D,Unavailable
6,11:30am,Monday, October 10,520D,Unavailable
6,11:45am,Monday, October 10,520D,Unavailable
6,12:00pm,Monday, October 10,520D,Unavailable
6,12:15pm,Monday, October 10,520D,Unavailable
6,12:30pm,Monday, October 10,520D,Unavailable
6,12:45pm,Monday, October 10,520D,Unavailable
6,1:00pm,Monday, October 10,520D,Unavailable
6,1:15pm,Monday, October 10,520D,Unavailable
6,1:30pm,Monday, October 10,520D,Unavailable
6,1:45pm,Monday, October 10,520D,Unavailable
6,2:00pm,Monday, October 10,520D,Unavailable
6,2:15pm,Monday, October 10,520D,Unavailable
6,2:30pm,Monday, October 10,520D,Unavailable
6,2:45pm,Monday, October 10,520D,Unavailable
6,3:00pm,Monday, October 10,520D,Unavailable
6,3:15pm,Monday, October 10,520D,Unavailable
6,3:30pm,Monday, October 10,520D,Unavailable
6,3:45pm,Monday, October 10,520D,Unavailable
6,4:00pm,Monday, October 10,520D,Unavailable
6,4:15pm,Monday, October 10,520D,Unavailable
6,4:30pm,Monday, October 10,520D,Unavailable
6,4:45pm,Monday, October 10,520D,Unavailable
6,5:00pm,Monday, October 10,520D,Unavailable
6,5:15pm,Monday, October 10,520D,Unavailable
6,5:30pm,Monday, October 10,520D,Unavailable
6,5:45pm,Monday, October 10,520D,Unavailable
6,6:00pm,Monday, October 10,520D,Unavailable
6,6:15pm,Monday, October 10,520D,Unavailable
6,6:30pm,Monday, October 10,520D,Unavailable
6,6:45pm,Monday, October 10,520D,Unavailable
6,7:00pm,Monday, October 10,520D,Unavailable
6,7:15pm,Monday, October 10,520D,Available
6,7:30pm,Monday, October 10,520D,Available
6,7:45pm,Monday, October 10,520D,Available
6,8:00pm,Monday, October 10,520D,Available
6,8:15pm,Monday, October 10,520D,Available
6,8:30pm,Monday, October 10,520D,Available
6,8:45pm,Monday, October 10,520D,Available
6,9:00pm,Monday, October 10,520D,Available
6,9:15pm,Monday, October 10,520D,Available
6,9:30pm,Monday, October 10,520D,Available
6,9:45pm,Monday, October 10,520D,Available
6,10:00pm,Monday, October 10,520D,Available
6,10:15pm,Monday, October 10,520D,Available
6,10:30pm,Monday, October 10,520D,Available
6,10:45pm,Monday, October 10,520D,Available
6,11:00pm,Monday, October 10,520D,Available
6,11:15pm,Monday, October 10,520D,Available
6,11:30pm,Monday, October 10,520D,Available
6,11:45pm,Monday, October 10,520D,Available
