checking_hour,hour,day_of_week,date,room,status
6,6:00am,Wednesday, October 12,437,Available
6,6:15am,Wednesday, October 12,437,Available
6,6:30am,Wednesday, October 12,437,Available
6,6:45am,Wednesday, October 12,437,Available
6,7:00am,Wednesday, October 12,437,Available
6,7:15am,Wednesday, October 12,437,Available
6,7:30am,Wednesday, October 12,437,Available
6,7:45am,Wednesday, October 12,437,Available
6,8:00am,Wednesday, October 12,437,Available
6,8:15am,Wednesday, October 12,437,Available
6,8:30am,Wednesday, October 12,437,Available
6,8:45am,Wednesday, October 12,437,Available
6,9:00am,Wednesday, October 12,437,Available
6,9:15am,Wednesday, October 12,437,Available
6,9:30am,Wednesday, October 12,437,Available
6,9:45am,Wednesday, October 12,437,Available
6,10:00am,Wednesday, October 12,437,Available
6,10:15am,Wednesday, October 12,437,Available
6,10:30am,Wednesday, October 12,437,Available
6,10:45am,Wednesday, October 12,437,Unavailable
6,11:00am,Wednesday, October 12,437,Unavailable
6,11:15am,Wednesday, October 12,437,Unavailable
6,11:30am,Wednesday, October 12,437,Unavailable
6,11:45am,Wednesday, October 12,437,Unavailable
6,12:00pm,Wednesday, October 12,437,Unavailable
6,12:15pm,Wednesday, October 12,437,Unavailable
6,12:30pm,Wednesday, October 12,437,Unavailable
6,12:45pm,Wednesday, October 12,437,Unavailable
6,1:00pm,Wednesday, October 12,437,Unavailable
6,1:15pm,Wednesday, October 12,437,Unavailable
6,1:30pm,Wednesday, October 12,437,Unavailable
6,1:45pm,Wednesday, October 12,437,Unavailable
6,2:00pm,Wednesday, October 12,437,Unavailable
6,2:15pm,Wednesday, October 12,437,Available
6,2:30pm,Wednesday, October 12,437,Available
6,2:45pm,Wednesday, October 12,437,Available
6,3:00pm,Wednesday, October 12,437,Unavailable
6,3:15pm,Wednesday, October 12,437,Unavailable
6,3:30pm,Wednesday, October 12,437,Unavailable
6,3:45pm,Wednesday, October 12,437,Unavailable
6,4:00pm,Wednesday, October 12,437,Unavailable
6,4:15pm,Wednesday, October 12,437,Unavailable
6,4:30pm,Wednesday, October 12,437,Unavailable
6,4:45pm,Wednesday, October 12,437,Unavailable
6,5:00pm,Wednesday, October 12,437,Unavailable
6,5:15pm,Wednesday, October 12,437,Unavailable
6,5:30pm,Wednesday, October 12,437,Unavailable
6,5:45pm,Wednesday, October 12,437,Unavailable
6,6:00pm,Wednesday, October 12,437,Unavailable
6,6:15pm,Wednesday, October 12,437,Unavailable
6,6:30pm,Wednesday, October 12,437,Unavailable
6,6:45pm,Wednesday, October 12,437,Unavailable
6,7:00pm,Wednesday, October 12,437,Unavailable
6,7:15pm,Wednesday, October 12,437,Unavailable
6,7:30pm,Wednesday, October 12,437,Unavailable
6,7:45pm,Wednesday, October 12,437,Unavailable
6,8:00pm,Wednesday, October 12,437,Unavailable
6,8:15pm,Wednesday, October 12,437,Unavailable
6,8:30pm,Wednesday, October 12,437,Unavailable
6,8:45pm,Wednesday, October 12,437,Unavailable
6,9:00pm,Wednesday, October 12,437,Unavailable
6,9:15pm,Wednesday, October 12,437,Unavailable
6,9:30pm,Wednesday, October 12,437,Unavailable
6,9:45pm,Wednesday, October 12,437,Available
6,10:00pm,Wednesday, October 12,437,Available
6,10:15pm,Wednesday, October 12,437,Available
6,10:30pm,Wednesday, October 12,437,Available
6,10:45pm,Wednesday, October 12,437,Available
6,11:00pm,Wednesday, October 12,437,Available
6,11:15pm,Wednesday, October 12,437,Available
6,11:30pm,Wednesday, October 12,437,Available
6,11:45pm,Wednesday, October 12,437,Available
6,6:00am,Wednesday, October 12,438,Available
6,6:15am,Wednesday, October 12,438,Available
6,6:30am,Wednesday, October 12,438,Available
6,6:45am,Wednesday, October 12,438,Available
6,7:00am,Wednesday, October 12,438,Available
6,7:15am,Wednesday, October 12,438,Available
6,7:30am,Wednesday, October 12,438,Available
6,7:45am,Wednesday, October 12,438,Available
6,8:00am,Wednesday, October 12,438,Available
6,8:15am,Wednesday, October 12,438,Available
6,8:30am,Wednesday, October 12,438,Available
6,8:45am,Wednesday, October 12,438,Available
6,9:00am,Wednesday, October 12,438,Available
6,9:15am,Wednesday, October 12,438,Available
6,9:30am,Wednesday, October 12,438,Available
6,9:45am,Wednesday, October 12,438,Available
6,10:00am,Wednesday, October 12,438,Available
6,10:15am,Wednesday, October 12,438,Available
6,10:30am,Wednesday, October 12,438,Available
6,10:45am,Wednesday, October 12,438,Available
6,11:00am,Wednesday, October 12,438,Unavailable
6,11:15am,Wednesday, October 12,438,Unavailable
6,11:30am,Wednesday, October 12,438,Unavailable
6,11:45am,Wednesday, October 12,438,Unavailable
6,12:00pm,Wednesday, October 12,438,Unavailable
6,12:15pm,Wednesday, October 12,438,Unavailable
6,12:30pm,Wednesday, October 12,438,Unavailable
6,12:45pm,Wednesday, October 12,438,Unavailable
6,1:00pm,Wednesday, October 12,438,Unavailable
6,1:15pm,Wednesday, October 12,438,Unavailable
6,1:30pm,Wednesday, October 12,438,Unavailable
6,1:45pm,Wednesday, October 12,438,Unavailable
6,2:00pm,Wednesday, October 12,438,Unavailable
6,2:15pm,Wednesday, October 12,438,Unavailable
6,2:30pm,Wednesday, October 12,438,Unavailable
6,2:45pm,Wednesday, October 12,438,Unavailable
6,3:00pm,Wednesday, October 12,438,Unavailable
6,3:15pm,Wednesday, October 12,438,Unavailable
6,3:30pm,Wednesday, October 12,438,Unavailable
6,3:45pm,Wednesday, October 12,438,Unavailable
6,4:00pm,Wednesday, October 12,438,Unavailable
6,4:15pm,Wednesday, October 12,438,Available
6,4:30pm,Wednesday, October 12,438,Available
6,4:45pm,Wednesday, October 12,438,Unavailable
6,5:00pm,Wednesday, October 12,438,Unavailable
6,5:15pm,Wednesday, October 12,438,Unavailable
6,5:30pm,Wednesday, October 12,438,Unavailable
6,5:45pm,Wednesday, October 12,438,Unavailable
6,6:00pm,Wednesday, October 12,438,Unavailable
6,6:15pm,Wednesday, October 12,438,Unavailable
6,6:30pm,Wednesday, October 12,438,Unavailable
6,6:45pm,Wednesday, October 12,438,Unavailable
6,7:00pm,Wednesday, October 12,438,Unavailable
6,7:15pm,Wednesday, October 12,438,Unavailable
6,7:30pm,Wednesday, October 12,438,Unavailable
6,7:45pm,Wednesday, October 12,438,Unavailable
6,8:00pm,Wednesday, October 12,438,Unavailable
6,8:15pm,Wednesday, October 12,438,Available
6,8:30pm,Wednesday, October 12,438,Available
6,8:45pm,Wednesday, October 12,438,Available
6,9:00pm,Wednesday, October 12,438,Available
6,9:15pm,Wednesday, October 12,438,Available
6,9:30pm,Wednesday, October 12,438,Available
6,9:45pm,Wednesday, October 12,438,Available
6,10:00pm,Wednesday, October 12,438,Available
6,10:15pm,Wednesday, October 12,438,Available
6,10:30pm,Wednesday, October 12,438,Available
6,10:45pm,Wednesday, October 12,438,Available
6,11:00pm,Wednesday, October 12,438,Available
6,11:15pm,Wednesday, October 12,438,Available
6,11:30pm,Wednesday, October 12,438,Available
6,11:45pm,Wednesday, October 12,438,Available
6,6:00am,Wednesday, October 12,440,Available
6,6:15am,Wednesday, October 12,440,Available
6,6:30am,Wednesday, October 12,440,Available
6,6:45am,Wednesday, October 12,440,Available
6,7:00am,Wednesday, October 12,440,Available
6,7:15am,Wednesday, October 12,440,Available
6,7:30am,Wednesday, October 12,440,Available
6,7:45am,Wednesday, October 12,440,Available
6,8:00am,Wednesday, October 12,440,Available
6,8:15am,Wednesday, October 12,440,Available
6,8:30am,Wednesday, October 12,440,Available
6,8:45am,Wednesday, October 12,440,Available
6,9:00am,Wednesday, October 12,440,Available
6,9:15am,Wednesday, October 12,440,Available
6,9:30am,Wednesday, October 12,440,Available
6,9:45am,Wednesday, October 12,440,Available
6,10:00am,Wednesday, October 12,440,Available
6,10:15am,Wednesday, October 12,440,Available
6,10:30am,Wednesday, October 12,440,Available
6,10:45am,Wednesday, October 12,440,Unavailable
6,11:00am,Wednesday, October 12,440,Unavailable
6,11:15am,Wednesday, October 12,440,Unavailable
6,11:30am,Wednesday, October 12,440,Unavailable
6,11:45am,Wednesday, October 12,440,Unavailable
6,12:00pm,Wednesday, October 12,440,Unavailable
6,12:15pm,Wednesday, October 12,440,Unavailable
6,12:30pm,Wednesday, October 12,440,Unavailable
6,12:45pm,Wednesday, October 12,440,Unavailable
6,1:00pm,Wednesday, October 12,440,Unavailable
6,1:15pm,Wednesday, October 12,440,Unavailable
6,1:30pm,Wednesday, October 12,440,Unavailable
6,1:45pm,Wednesday, October 12,440,Unavailable
6,2:00pm,Wednesday, October 12,440,Unavailable
6,2:15pm,Wednesday, October 12,440,Unavailable
6,2:30pm,Wednesday, October 12,440,Unavailable
6,2:45pm,Wednesday, October 12,440,Unavailable
6,3:00pm,Wednesday, October 12,440,Unavailable
6,3:15pm,Wednesday, October 12,440,Unavailable
6,3:30pm,Wednesday, October 12,440,Unavailable
6,3:45pm,Wednesday, October 12,440,Unavailable
6,4:00pm,Wednesday, October 12,440,Unavailable
6,4:15pm,Wednesday, October 12,440,Unavailable
6,4:30pm,Wednesday, October 12,440,Unavailable
6,4:45pm,Wednesday, October 12,440,Unavailable
6,5:00pm,Wednesday, October 12,440,Unavailable
6,5:15pm,Wednesday, October 12,440,Available
6,5:30pm,Wednesday, October 12,440,Available
6,5:45pm,Wednesday, October 12,440,Unavailable
6,6:00pm,Wednesday, October 12,440,Unavailable
6,6:15pm,Wednesday, October 12,440,Unavailable
6,6:30pm,Wednesday, October 12,440,Unavailable
6,6:45pm,Wednesday, October 12,440,Unavailable
6,7:00pm,Wednesday, October 12,440,Unavailable
6,7:15pm,Wednesday, October 12,440,Unavailable
6,7:30pm,Wednesday, October 12,440,Unavailable
6,7:45pm,Wednesday, October 12,440,Unavailable
6,8:00pm,Wednesday, October 12,440,Unavailable
6,8:15pm,Wednesday, October 12,440,Unavailable
6,8:30pm,Wednesday, October 12,440,Unavailable
6,8:45pm,Wednesday, October 12,440,Unavailable
6,9:00pm,Wednesday, October 12,440,Unavailable
6,9:15pm,Wednesday, October 12,440,Available
6,9:30pm,Wednesday, October 12,440,Available
6,9:45pm,Wednesday, October 12,440,Available
6,10:00pm,Wednesday, October 12,440,Available
6,10:15pm,Wednesday, October 12,440,Available
6,10:30pm,Wednesday, October 12,440,Available
6,10:45pm,Wednesday, October 12,440,Available
6,11:00pm,Wednesday, October 12,440,Available
6,11:15pm,Wednesday, October 12,440,Available
6,11:30pm,Wednesday, October 12,440,Available
6,11:45pm,Wednesday, October 12,440,Available
6,6:00am,Wednesday, October 12,441,Available
6,6:15am,Wednesday, October 12,441,Available
6,6:30am,Wednesday, October 12,441,Available
6,6:45am,Wednesday, October 12,441,Available
6,7:00am,Wednesday, October 12,441,Available
6,7:15am,Wednesday, October 12,441,Available
6,7:30am,Wednesday, October 12,441,Available
6,7:45am,Wednesday, October 12,441,Available
6,8:00am,Wednesday, October 12,441,Available
6,8:15am,Wednesday, October 12,441,Available
6,8:30am,Wednesday, October 12,441,Available
6,8:45am,Wednesday, October 12,441,Available
6,9:00am,Wednesday, October 12,441,Available
6,9:15am,Wednesday, October 12,441,Available
6,9:30am,Wednesday, October 12,441,Available
6,9:45am,Wednesday, October 12,441,Unavailable
6,10:00am,Wednesday, October 12,441,Unavailable
6,10:15am,Wednesday, October 12,441,Unavailable
6,10:30am,Wednesday, October 12,441,Unavailable
6,10:45am,Wednesday, October 12,441,Unavailable
6,11:00am,Wednesday, October 12,441,Unavailable
6,11:15am,Wednesday, October 12,441,Unavailable
6,11:30am,Wednesday, October 12,441,Unavailable
6,11:45am,Wednesday, October 12,441,Unavailable
6,12:00pm,Wednesday, October 12,441,Unavailable
6,12:15pm,Wednesday, October 12,441,Unavailable
6,12:30pm,Wednesday, October 12,441,Unavailable
6,12:45pm,Wednesday, October 12,441,Unavailable
6,1:00pm,Wednesday, October 12,441,Unavailable
6,1:15pm,Wednesday, October 12,441,Available
6,1:30pm,Wednesday, October 12,441,Available
6,1:45pm,Wednesday, October 12,441,Unavailable
6,2:00pm,Wednesday, October 12,441,Unavailable
6,2:15pm,Wednesday, October 12,441,Unavailable
6,2:30pm,Wednesday, October 12,441,Unavailable
6,2:45pm,Wednesday, October 12,441,Unavailable
6,3:00pm,Wednesday, October 12,441,Unavailable
6,3:15pm,Wednesday, October 12,441,Unavailable
6,3:30pm,Wednesday, October 12,441,Unavailable
6,3:45pm,Wednesday, October 12,441,Unavailable
6,4:00pm,Wednesday, October 12,441,Unavailable
6,4:15pm,Wednesday, October 12,441,Unavailable
6,4:30pm,Wednesday, October 12,441,Unavailable
6,4:45pm,Wednesday, October 12,441,Unavailable
6,5:00pm,Wednesday, October 12,441,Unavailable
6,5:15pm,Wednesday, October 12,441,Available
6,5:30pm,Wednesday, October 12,441,Available
6,5:45pm,Wednesday, October 12,441,Unavailable
6,6:00pm,Wednesday, October 12,441,Unavailable
6,6:15pm,Wednesday, October 12,441,Unavailable
6,6:30pm,Wednesday, October 12,441,Unavailable
6,6:45pm,Wednesday, October 12,441,Unavailable
6,7:00pm,Wednesday, October 12,441,Unavailable
6,7:15pm,Wednesday, October 12,441,Unavailable
6,7:30pm,Wednesday, October 12,441,Unavailable
6,7:45pm,Wednesday, October 12,441,Unavailable
6,8:00pm,Wednesday, October 12,441,Available
6,8:15pm,Wednesday, October 12,441,Available
6,8:30pm,Wednesday, October 12,441,Available
6,8:45pm,Wednesday, October 12,441,Available
6,9:00pm,Wednesday, October 12,441,Available
6,9:15pm,Wednesday, October 12,441,Available
6,9:30pm,Wednesday, October 12,441,Available
6,9:45pm,Wednesday, October 12,441,Available
6,10:00pm,Wednesday, October 12,441,Available
6,10:15pm,Wednesday, October 12,441,Available
6,10:30pm,Wednesday, October 12,441,Available
6,10:45pm,Wednesday, October 12,441,Available
6,11:00pm,Wednesday, October 12,441,Available
6,11:15pm,Wednesday, October 12,441,Available
6,11:30pm,Wednesday, October 12,441,Available
6,11:45pm,Wednesday, October 12,441,Available
6,6:00am,Wednesday, October 12,442,Available
6,6:15am,Wednesday, October 12,442,Available
6,6:30am,Wednesday, October 12,442,Available
6,6:45am,Wednesday, October 12,442,Available
6,7:00am,Wednesday, October 12,442,Available
6,7:15am,Wednesday, October 12,442,Available
6,7:30am,Wednesday, October 12,442,Available
6,7:45am,Wednesday, October 12,442,Available
6,8:00am,Wednesday, October 12,442,Available
6,8:15am,Wednesday, October 12,442,Available
6,8:30am,Wednesday, October 12,442,Available
6,8:45am,Wednesday, October 12,442,Available
6,9:00am,Wednesday, October 12,442,Available
6,9:15am,Wednesday, October 12,442,Available
6,9:30am,Wednesday, October 12,442,Available
6,9:45am,Wednesday, October 12,442,Available
6,10:00am,Wednesday, October 12,442,Available
6,10:15am,Wednesday, October 12,442,Available
6,10:30am,Wednesday, October 12,442,Available
6,10:45am,Wednesday, October 12,442,Unavailable
6,11:00am,Wednesday, October 12,442,Unavailable
6,11:15am,Wednesday, October 12,442,Unavailable
6,11:30am,Wednesday, October 12,442,Unavailable
6,11:45am,Wednesday, October 12,442,Unavailable
6,12:00pm,Wednesday, October 12,442,Unavailable
6,12:15pm,Wednesday, October 12,442,Unavailable
6,12:30pm,Wednesday, October 12,442,Unavailable
6,12:45pm,Wednesday, October 12,442,Unavailable
6,1:00pm,Wednesday, October 12,442,Unavailable
6,1:15pm,Wednesday, October 12,442,Unavailable
6,1:30pm,Wednesday, October 12,442,Unavailable
6,1:45pm,Wednesday, October 12,442,Unavailable
6,2:00pm,Wednesday, October 12,442,Unavailable
6,2:15pm,Wednesday, October 12,442,Available
6,2:30pm,Wednesday, October 12,442,Available
6,2:45pm,Wednesday, October 12,442,Available
6,3:00pm,Wednesday, October 12,442,Available
6,3:15pm,Wednesday, October 12,442,Unavailable
6,3:30pm,Wednesday, October 12,442,Unavailable
6,3:45pm,Wednesday, October 12,442,Unavailable
6,4:00pm,Wednesday, October 12,442,Unavailable
6,4:15pm,Wednesday, October 12,442,Unavailable
6,4:30pm,Wednesday, October 12,442,Unavailable
6,4:45pm,Wednesday, October 12,442,Unavailable
6,5:00pm,Wednesday, October 12,442,Unavailable
6,5:15pm,Wednesday, October 12,442,Unavailable
6,5:30pm,Wednesday, October 12,442,Unavailable
6,5:45pm,Wednesday, October 12,442,Unavailable
6,6:00pm,Wednesday, October 12,442,Unavailable
6,6:15pm,Wednesday, October 12,442,Unavailable
6,6:30pm,Wednesday, October 12,442,Unavailable
6,6:45pm,Wednesday, October 12,442,Unavailable
6,7:00pm,Wednesday, October 12,442,Unavailable
6,7:15pm,Wednesday, October 12,442,Unavailable
6,7:30pm,Wednesday, October 12,442,Unavailable
6,7:45pm,Wednesday, October 12,442,Unavailable
6,8:00pm,Wednesday, October 12,442,Unavailable
6,8:15pm,Wednesday, October 12,442,Unavailable
6,8:30pm,Wednesday, October 12,442,Unavailable
6,8:45pm,Wednesday, October 12,442,Unavailable
6,9:00pm,Wednesday, October 12,442,Unavailable
6,9:15pm,Wednesday, October 12,442,Unavailable
6,9:30pm,Wednesday, October 12,442,Unavailable
6,9:45pm,Wednesday, October 12,442,Unavailable
6,10:00pm,Wednesday, October 12,442,Available
6,10:15pm,Wednesday, October 12,442,Available
6,10:30pm,Wednesday, October 12,442,Available
6,10:45pm,Wednesday, October 12,442,Available
6,11:00pm,Wednesday, October 12,442,Available
6,11:15pm,Wednesday, October 12,442,Available
6,11:30pm,Wednesday, October 12,442,Available
6,11:45pm,Wednesday, October 12,442,Available
6,6:00am,Wednesday, October 12,514A,Available
6,6:15am,Wednesday, October 12,514A,Available
6,6:30am,Wednesday, October 12,514A,Available
6,6:45am,Wednesday, October 12,514A,Available
6,7:00am,Wednesday, October 12,514A,Available
6,7:15am,Wednesday, October 12,514A,Available
6,7:30am,Wednesday, October 12,514A,Available
6,7:45am,Wednesday, October 12,514A,Available
6,8:00am,Wednesday, October 12,514A,Available
6,8:15am,Wednesday, October 12,514A,Available
6,8:30am,Wednesday, October 12,514A,Available
6,8:45am,Wednesday, October 12,514A,Available
6,9:00am,Wednesday, October 12,514A,Available
6,9:15am,Wednesday, October 12,514A,Available
6,9:30am,Wednesday, October 12,514A,Available
6,9:45am,Wednesday, October 12,514A,Unavailable
6,10:00am,Wednesday, October 12,514A,Unavailable
6,10:15am,Wednesday, October 12,514A,Unavailable
6,10:30am,Wednesday, October 12,514A,Unavailable
6,10:45am,Wednesday, October 12,514A,Unavailable
6,11:00am,Wednesday, October 12,514A,Unavailable
6,11:15am,Wednesday, October 12,514A,Unavailable
6,11:30am,Wednesday, October 12,514A,Unavailable
6,11:45am,Wednesday, October 12,514A,Unavailable
6,12:00pm,Wednesday, October 12,514A,Unavailable
6,12:15pm,Wednesday, October 12,514A,Unavailable
6,12:30pm,Wednesday, October 12,514A,Unavailable
6,12:45pm,Wednesday, October 12,514A,Unavailable
6,1:00pm,Wednesday, October 12,514A,Unavailable
6,1:15pm,Wednesday, October 12,514A,Unavailable
6,1:30pm,Wednesday, October 12,514A,Unavailable
6,1:45pm,Wednesday, October 12,514A,Unavailable
6,2:00pm,Wednesday, October 12,514A,Unavailable
6,2:15pm,Wednesday, October 12,514A,Unavailable
6,2:30pm,Wednesday, October 12,514A,Unavailable
6,2:45pm,Wednesday, October 12,514A,Unavailable
6,3:00pm,Wednesday, October 12,514A,Unavailable
6,3:15pm,Wednesday, October 12,514A,Unavailable
6,3:30pm,Wednesday, October 12,514A,Unavailable
6,3:45pm,Wednesday, October 12,514A,Unavailable
6,4:00pm,Wednesday, October 12,514A,Unavailable
6,4:15pm,Wednesday, October 12,514A,Unavailable
6,4:30pm,Wednesday, October 12,514A,Unavailable
6,4:45pm,Wednesday, October 12,514A,Unavailable
6,5:00pm,Wednesday, October 12,514A,Unavailable
6,5:15pm,Wednesday, October 12,514A,Unavailable
6,5:30pm,Wednesday, October 12,514A,Unavailable
6,5:45pm,Wednesday, October 12,514A,Unavailable
6,6:00pm,Wednesday, October 12,514A,Unavailable
6,6:15pm,Wednesday, October 12,514A,Unavailable
6,6:30pm,Wednesday, October 12,514A,Unavailable
6,6:45pm,Wednesday, October 12,514A,Unavailable
6,7:00pm,Wednesday, October 12,514A,Unavailable
6,7:15pm,Wednesday, October 12,514A,Unavailable
6,7:30pm,Wednesday, October 12,514A,Unavailable
6,7:45pm,Wednesday, October 12,514A,Unavailable
6,8:00pm,Wednesday, October 12,514A,Unavailable
6,8:15pm,Wednesday, October 12,514A,Unavailable
6,8:30pm,Wednesday, October 12,514A,Unavailable
6,8:45pm,Wednesday, October 12,514A,Unavailable
6,9:00pm,Wednesday, October 12,514A,Unavailable
6,9:15pm,Wednesday, October 12,514A,Unavailable
6,9:30pm,Wednesday, October 12,514A,Unavailable
6,9:45pm,Wednesday, October 12,514A,Available
6,10:00pm,Wednesday, October 12,514A,Available
6,10:15pm,Wednesday, October 12,514A,Available
6,10:30pm,Wednesday, October 12,514A,Available
6,10:45pm,Wednesday, October 12,514A,Available
6,11:00pm,Wednesday, October 12,514A,Available
6,11:15pm,Wednesday, October 12,514A,Available
6,11:30pm,Wednesday, October 12,514A,Available
6,11:45pm,Wednesday, October 12,514A,Available
6,6:00am,Wednesday, October 12,514B,Available
6,6:15am,Wednesday, October 12,514B,Available
6,6:30am,Wednesday, October 12,514B,Available
6,6:45am,Wednesday, October 12,514B,Available
6,7:00am,Wednesday, October 12,514B,Available
6,7:15am,Wednesday, October 12,514B,Available
6,7:30am,Wednesday, October 12,514B,Available
6,7:45am,Wednesday, October 12,514B,Available
6,8:00am,Wednesday, October 12,514B,Available
6,8:15am,Wednesday, October 12,514B,Available
6,8:30am,Wednesday, October 12,514B,Available
6,8:45am,Wednesday, October 12,514B,Available
6,9:00am,Wednesday, October 12,514B,Available
6,9:15am,Wednesday, October 12,514B,Available
6,9:30am,Wednesday, October 12,514B,Available
6,9:45am,Wednesday, October 12,514B,Unavailable
6,10:00am,Wednesday, October 12,514B,Unavailable
6,10:15am,Wednesday, October 12,514B,Unavailable
6,10:30am,Wednesday, October 12,514B,Unavailable
6,10:45am,Wednesday, October 12,514B,Unavailable
6,11:00am,Wednesday, October 12,514B,Unavailable
6,11:15am,Wednesday, October 12,514B,Unavailable
6,11:30am,Wednesday, October 12,514B,Unavailable
6,11:45am,Wednesday, October 12,514B,Unavailable
6,12:00pm,Wednesday, October 12,514B,Unavailable
6,12:15pm,Wednesday, October 12,514B,Unavailable
6,12:30pm,Wednesday, October 12,514B,Unavailable
6,12:45pm,Wednesday, October 12,514B,Unavailable
6,1:00pm,Wednesday, October 12,514B,Unavailable
6,1:15pm,Wednesday, October 12,514B,Available
6,1:30pm,Wednesday, October 12,514B,Available
6,1:45pm,Wednesday, October 12,514B,Unavailable
6,2:00pm,Wednesday, October 12,514B,Unavailable
6,2:15pm,Wednesday, October 12,514B,Unavailable
6,2:30pm,Wednesday, October 12,514B,Unavailable
6,2:45pm,Wednesday, October 12,514B,Unavailable
6,3:00pm,Wednesday, October 12,514B,Unavailable
6,3:15pm,Wednesday, October 12,514B,Unavailable
6,3:30pm,Wednesday, October 12,514B,Unavailable
6,3:45pm,Wednesday, October 12,514B,Unavailable
6,4:00pm,Wednesday, October 12,514B,Unavailable
6,4:15pm,Wednesday, October 12,514B,Unavailable
6,4:30pm,Wednesday, October 12,514B,Unavailable
6,4:45pm,Wednesday, October 12,514B,Unavailable
6,5:00pm,Wednesday, October 12,514B,Unavailable
6,5:15pm,Wednesday, October 12,514B,Unavailable
6,5:30pm,Wednesday, October 12,514B,Unavailable
6,5:45pm,Wednesday, October 12,514B,Unavailable
6,6:00pm,Wednesday, October 12,514B,Unavailable
6,6:15pm,Wednesday, October 12,514B,Unavailable
6,6:30pm,Wednesday, October 12,514B,Unavailable
6,6:45pm,Wednesday, October 12,514B,Unavailable
6,7:00pm,Wednesday, October 12,514B,Available
6,7:15pm,Wednesday, October 12,514B,Available
6,7:30pm,Wednesday, October 12,514B,Available
6,7:45pm,Wednesday, October 12,514B,Available
6,8:00pm,Wednesday, October 12,514B,Available
6,8:15pm,Wednesday, October 12,514B,Available
6,8:30pm,Wednesday, October 12,514B,Available
6,8:45pm,Wednesday, October 12,514B,Available
6,9:00pm,Wednesday, October 12,514B,Available
6,9:15pm,Wednesday, October 12,514B,Available
6,9:30pm,Wednesday, October 12,514B,Available
6,9:45pm,Wednesday, October 12,514B,Available
6,10:00pm,Wednesday, October 12,514B,Available
6,10:15pm,Wednesday, October 12,514B,Available
6,10:30pm,Wednesday, October 12,514B,Available
6,10:45pm,Wednesday, October 12,514B,Available
6,11:00pm,Wednesday, October 12,514B,Available
6,11:15pm,Wednesday, October 12,514B,Available
6,11:30pm,Wednesday, October 12,514B,Available
6,11:45pm,Wednesday, October 12,514B,Available
6,6:00am,Wednesday, October 12,514C,Available
6,6:15am,Wednesday, October 12,514C,Available
6,6:30am,Wednesday, October 12,514C,Available
6,6:45am,Wednesday, October 12,514C,Available
6,7:00am,Wednesday, October 12,514C,Available
6,7:15am,Wednesday, October 12,514C,Available
6,7:30am,Wednesday, October 12,514C,Available
6,7:45am,Wednesday, October 12,514C,Available
6,8:00am,Wednesday, October 12,514C,Available
6,8:15am,Wednesday, October 12,514C,Available
6,8:30am,Wednesday, October 12,514C,Available
6,8:45am,Wednesday, October 12,514C,Available
6,9:00am,Wednesday, October 12,514C,Unavailable
6,9:15am,Wednesday, October 12,514C,Unavailable
6,9:30am,Wednesday, October 12,514C,Unavailable
6,9:45am,Wednesday, October 12,514C,Unavailable
6,10:00am,Wednesday, October 12,514C,Unavailable
6,10:15am,Wednesday, October 12,514C,Unavailable
6,10:30am,Wednesday, October 12,514C,Unavailable
6,10:45am,Wednesday, October 12,514C,Unavailable
6,11:00am,Wednesday, October 12,514C,Unavailable
6,11:15am,Wednesday, October 12,514C,Unavailable
6,11:30am,Wednesday, October 12,514C,Unavailable
6,11:45am,Wednesday, October 12,514C,Unavailable
6,12:00pm,Wednesday, October 12,514C,Unavailable
6,12:15pm,Wednesday, October 12,514C,Unavailable
6,12:30pm,Wednesday, October 12,514C,Available
6,12:45pm,Wednesday, October 12,514C,Unavailable
6,1:00pm,Wednesday, October 12,514C,Unavailable
6,1:15pm,Wednesday, October 12,514C,Unavailable
6,1:30pm,Wednesday, October 12,514C,Unavailable
6,1:45pm,Wednesday, October 12,514C,Unavailable
6,2:00pm,Wednesday, October 12,514C,Unavailable
6,2:15pm,Wednesday, October 12,514C,Unavailable
6,2:30pm,Wednesday, October 12,514C,Unavailable
6,2:45pm,Wednesday, October 12,514C,Unavailable
6,3:00pm,Wednesday, October 12,514C,Unavailable
6,3:15pm,Wednesday, October 12,514C,Unavailable
6,3:30pm,Wednesday, October 12,514C,Unavailable
6,3:45pm,Wednesday, October 12,514C,Unavailable
6,4:00pm,Wednesday, October 12,514C,Unavailable
6,4:15pm,Wednesday, October 12,514C,Unavailable
6,4:30pm,Wednesday, October 12,514C,Unavailable
6,4:45pm,Wednesday, October 12,514C,Unavailable
6,5:00pm,Wednesday, October 12,514C,Unavailable
6,5:15pm,Wednesday, October 12,514C,Unavailable
6,5:30pm,Wednesday, October 12,514C,Unavailable
6,5:45pm,Wednesday, October 12,514C,Unavailable
6,6:00pm,Wednesday, October 12,514C,Unavailable
6,6:15pm,Wednesday, October 12,514C,Unavailable
6,6:30pm,Wednesday, October 12,514C,Unavailable
6,6:45pm,Wednesday, October 12,514C,Unavailable
6,7:00pm,Wednesday, October 12,514C,Unavailable
6,7:15pm,Wednesday, October 12,514C,Unavailable
6,7:30pm,Wednesday, October 12,514C,Unavailable
6,7:45pm,Wednesday, October 12,514C,Unavailable
6,8:00pm,Wednesday, October 12,514C,Unavailable
6,8:15pm,Wednesday, October 12,514C,Unavailable
6,8:30pm,Wednesday, October 12,514C,Unavailable
6,8:45pm,Wednesday, October 12,514C,Unavailable
